Date,Heure,S2OTemp,S2OHR
23/12/2017,19:00:01,8.1,102.2
23/12/2017,20:00:01,8.2,101.2
23/12/2017,21:00:01,8.3,100.1
23/12/2017,22:00:01,8.3,99.7
23/12/2017,23:00:01,8.3,100.7
24/12/2017,00:00:01,8.2,100.8
24/12/2017,01:00:01,8.3,100.6
24/12/2017,02:00:01,8.3,100.4
24/12/2017,03:00:01,8.3,98.8
24/12/2017,04:00:01,8.1,100.4
24/12/2017,05:00:01,8,100.8
24/12/2017,06:00:01,7.7,103.2
24/12/2017,07:00:01,7.8,103.1
24/12/2017,08:00:01,8,101.2
24/12/2017,09:00:01,8,101.1
24/12/2017,10:00:01,8.2,101.4
24/12/2017,11:00:01,8.5,100.1
24/12/2017,12:00:01,8.5,101.3
24/12/2017,13:00:01,8.3,102.3
24/12/2017,14:00:01,8.5,100.7
24/12/2017,15:00:01,8.4,97.1
24/12/2017,16:00:01,8.2,96.9
24/12/2017,17:00:01,7.8,99.6
24/12/2017,18:00:01,7.7,100.2
24/12/2017,19:00:01,7.8,99.6
24/12/2017,20:00:01,7.7,100.6
24/12/2017,21:00:01,7.7,100.3
24/12/2017,22:00:01,7.5,103.2
24/12/2017,23:00:01,7.5,100.2
25/12/2017,00:00:01,7.5,97.7
25/12/2017,01:00:01,7.3,100.1
25/12/2017,02:00:01,7.2,99.3
25/12/2017,03:00:01,7.2,97.6
25/12/2017,04:00:01,7,98.8
25/12/2017,05:00:01,6.7,98.2
25/12/2017,06:00:01,6.4,98.5
25/12/2017,07:00:01,5.8,100.4
25/12/2017,08:00:01,5.4,96
25/12/2017,09:00:01,5,98.2
25/12/2017,10:00:01,4.5,102.4
25/12/2017,11:00:01,4.5,97.9
25/12/2017,12:00:01,4.5,98.5
25/12/2017,13:00:01,4.4,99.2
25/12/2017,14:00:01,4.3,96.9
25/12/2017,15:00:01,4.3,96.6
25/12/2017,16:00:01,4.1,96.5
25/12/2017,17:00:01,3.8,99.5
25/12/2017,18:00:01,3.6,99.7
25/12/2017,19:00:01,3.2,101.2
25/12/2017,20:00:01,3.4,99.5
25/12/2017,21:00:01,3.3,99.7
25/12/2017,22:00:01,3.5,100.6
25/12/2017,23:00:01,3.9,99
26/12/2017,00:00:01,4,99
26/12/2017,01:00:01,3.6,99.6
26/12/2017,02:00:01,3.1,98.3
26/12/2017,03:00:01,3.5,96.5
26/12/2017,04:00:01,5.8,87.3
26/12/2017,05:00:01,4.5,104.4
26/12/2017,06:00:01,5.2,104.6
26/12/2017,07:00:01,5.1,105.4
26/12/2017,08:00:01,5,105.9
26/12/2017,09:00:01,5,106.4
26/12/2017,10:00:01,5.1,105.6
26/12/2017,11:00:01,5.8,95.5
26/12/2017,12:00:01,6.4,91
26/12/2017,13:00:01,6.3,89.6
26/12/2017,14:00:01,6.5,87.9
26/12/2017,15:00:01,6.6,87.6
26/12/2017,16:00:01,6.6,89.7
26/12/2017,17:00:01,6.5,91.4
26/12/2017,18:00:01,6.5,92.4
26/12/2017,19:00:01,6.3,93.2
26/12/2017,20:00:01,6.5,90.7
26/12/2017,21:00:01,6.2,90.7
26/12/2017,22:00:01,6.4,87.7
26/12/2017,23:00:01,6.2,86.7
27/12/2017,00:00:01,6.2,86.5
27/12/2017,01:00:01,5.6,91
27/12/2017,02:00:01,4.8,97.6
27/12/2017,03:00:01,4.8,98.8
27/12/2017,04:00:01,4.6,98.7
27/12/2017,05:00:01,4.2,104.7
27/12/2017,06:00:01,4.2,105.3
27/12/2017,07:00:01,4.7,102.2
27/12/2017,08:00:01,5,102.5
27/12/2017,09:00:01,5.2,100.8
27/12/2017,10:00:01,5.5,99.6
27/12/2017,11:00:01,6.6,96.7
27/12/2017,12:00:01,6.5,95
27/12/2017,13:00:01,5.8,98.1
27/12/2017,14:00:01,6.3,93.4
27/12/2017,15:00:01,5.6,99
27/12/2017,16:00:01,4,105.9
27/12/2017,17:00:01,3.5,102.3
27/12/2017,18:00:01,3.8,105
27/12/2017,19:00:01,3.3,103.5
27/12/2017,20:00:01,2.9,103.8
27/12/2017,21:00:01,2.8,100.9
27/12/2017,22:00:01,2.6,103
27/12/2017,23:00:01,2.9,98.5
28/12/2017,00:00:01,3.3,91.2
28/12/2017,01:00:01,3,90.3
28/12/2017,02:00:01,2.7,92
28/12/2017,03:00:01,2.3,91.9
